#Threads Time(ms)
15766.416016 1
7826.414795 2
5665.195068 3
4116.349854 4
2975.250000 5
2945.050049 6
2691.469971 7
2389.107178 8
2113.128174 9
1842.250000 10
1942.442871 11
2060.307861 12
2151.013916 13
2072.027100 14
1992.414062 15
1919.302979 16
1955.783203 17
1925.895020 18
1798.241943 19
1813.339844 20
1888.293945 21
1936.055908 22
1976.162842 23
1989.656982 24
1980.975098 25
2185.695068 26
2034.710938 27
2088.254883 28
1940.747070 29
2120.809082 30
1886.490967 31
1851.398926 32
